@ HyperIMU -ianovir - 2018
@ Date:Sat Dec 14 09:07:39 GMT+07:00 2019, Sampling Rate:100ms

LSM6DSO_Acceleration_Sensor.x,LSM6DSO_Acceleration_Sensor.y,LSM6DSO_Acceleration_Sensor.z
0.0,0.0,0.0
6.6345353,-2.6145482,5.3919067
7.240287,-2.456526,6.2490573
7.0774765,-2.5307484,5.952167
6.682421,-2.4613144,3.8212626
9.007262,-3.5147953,3.7590115
9.471751,-3.4238129,3.407053
10.235525,-3.3495905,2.8156672
11.585896,-2.6983478,2.3463893
12.505298,-3.0335462,1.1348863
13.372025,-5.219519,1.2569942
10.242707,-3.3424077,-0.32083282
8.2578535,-5.774991,0.047885496
3.7159145,-6.962551,-0.22027329
2.5235655,-5.851608,-1.4485363
6.533976,-5.8755503,-1.1181264
12.502903,-6.60341,0.9505271
13.735954,-6.5124273,2.2458298
12.8213415,-5.0926223,4.3432145
10.905922,-2.6241252,3.067066
10.817333,-4.1971636,2.413429
11.928277,-4.661653,2.2745612
11.67209,-7.439012,2.1452703
8.394327,-8.329682,1.0391153
5.1429024,-7.3240867,1.5874043
4.929812,-6.349617,-1.2689656
5.7103453,-5.604997,0.062251143
8.344048,-6.938608,1.2067145
12.146156,-6.4597535,0.38068968
12.277842,-5.851608,0.8667275
11.60505,-6.3400397,1.6831752
11.849266,-7.9944835,2.2434354
13.506104,-1.036721,2.1596358
9.907509,-8.40151,1.2330515
11.2794285,-8.430242,1.611347
8.102226,-8.564321,0.8739103
5.3871183,-7.9322324,0.6368771
4.04393,-6.490879,0.31125572
6.25624,-5.652883,0.90024734
8.9186735,-5.619363,-0.38308397
9.929058,-6.941003,-0.052674048
11.178869,-5.3464155,1.2689656
12.285024,-5.3799353,-0.9313729
11.909122,-5.5571117,0.51716334
12.818948,-4.355186,0.7829279
11.265063,-4.972909,1.3982565
10.000886,-8.114198,0.9912298
8.830086,-8.628966,0.5985687
7.429435,-8.334471,0.68715686
4.348003,-6.9888883,0.44294083
5.31529,-6.821289,-1.4485363
8.688824,-4.8220696,-1.4365649
8.310528,-6.273,-0.4956149
9.457385,-8.245882,0.69194543
11.808563,-6.533976,1.6759924
10.441432,-8.636149,-0.03351985
12.517269,-6.7734036,1.2426286
8.746285,-2.727079,1.5993756
7.125362,-6.778192,2.727079
10.544386,-7.2977495,-0.15802214
11.456605,-10.163696,2.6097596
7.7335076,-11.059155,-0.011971374
6.1820173,-9.435837,0.52913475
3.964919,-3.7925313,-0.31125572
5.6983743,-6.6776323,-0.44054657
6.981705,-7.778999,-0.77574503
13.707223,-5.2697988,2.7845416
10.113417,-7.048745,0.75180227
9.117398,-7.1493044,-0.0023942748
11.533222,-5.7534423,0.5554718
10.101445,-6.366377,2.2961094
9.653716,-7.563514,3.4309957
10.247497,-9.653716,2.8443985
6.409474,-9.289786,1.6879637
4.436591,-6.675238,-0.5027977
5.377541,-6.804529,0.5794145
7.5467544,-4.245049,0.13886794
7.82449,-7.058322,1.2617828
9.035994,-7.57788,-0.888276
10.063137,-6.9074826,1.2522057
11.700821,-7.7143536,1.1827718
12.426287,-4.8915033,0.8475733
11.389565,-8.0926485,1.9656997
9.237112,-7.620977,1.6951466
7.822096,-9.091062,2.631308
7.4246464,-8.607418,2.011191
5.9880815,-8.083072,2.8539755
2.8348215,-7.3815494,-0.25139886
7.1756415,-8.880365,-0.76137936
9.390346,-6.60341,1.2426286
8.978531,-7.659285,1.3719195
8.564321,-7.9681463,0.89067024
8.973742,-6.4405994,0.32083282
11.202812,-6.529187,0.45012367
10.970567,-7.7502675,0.3974496
7.7239304,-6.8883286,1.185166
8.743892,-8.269825,1.5131817
10.012857,-7.798153,2.3392065
10.843671,-7.755056,2.073442
10.259467,-8.078283,1.8004947
9.3592205,-3.9074564,2.0662591
7.1349387,-0.9624985,2.1620302
4.8938975,0.65124273,4.517997
2.22907,2.7486274,8.377567
-0.6177229,2.6265194,9.165284
-1.776552,2.083019,10.168485
-2.6432793,1.9417568,6.9649453
-2.4349775,3.2035396,14.593105
